Designator,Mid X,Mid Y,Rotation,Layer
BZ60,173.39,-94.8,90.0,bottom
D1,70.67,-90.2175,90.0,bottom
D10,246.8825,-90.2175,90.0,bottom
D11,265.9325,-90.2175,90.0,bottom
D12,284.9825,-90.2175,90.0,bottom
D13,304.0325,-90.2175,90.0,bottom
D14,323.0825,-90.2175,90.0,bottom
D15,342.1325,-90.2175,90.0,bottom
D16,365.945,-90.2175,90.0,bottom
D17,70.63,-96.42,270.0,bottom
D18,89.68,-96.42,270.0,bottom
D19,108.73,-96.42,270.0,bottom
D2,89.72,-90.2175,90.0,bottom
D20,132.5425,-96.42,270.0,bottom
D21,157.15,-96.3825,270.0,bottom
D22,163.6425,-96.42,270.0,bottom
D23,189.6925,-96.42,270.0,bottom
D24,208.7425,-96.42,270.0,bottom
D25,227.7925,-96.42,270.0,bottom
D26,246.8425,-96.42,270.0,bottom
D27,265.8925,-96.42,270.0,bottom
D28,284.9425,-96.42,270.0,bottom
D29,303.9925,-96.42,270.0,bottom
D3,108.77,-90.2175,90.0,bottom
D30,323.0425,-96.42,270.0,bottom
D31,342.0925,-96.42,270.0,bottom
D32,365.905,-96.42,270.0,bottom
D33,70.54,-115.71,270.0,bottom
D34,89.59,-115.71,270.0,bottom
D35,108.64,-115.71,270.0,bottom
D36,137.71,-115.6125,270.0,bottom
D37,153.71,-115.63,270.0,bottom
D38,172.76,-115.63,270.0,bottom
D39,191.81,-115.63,270.0,bottom
D4,132.5825,-90.2175,90.0,bottom
D40,210.86,-115.63,270.0,bottom
D41,229.91,-115.63,270.0,bottom
D42,248.96,-115.63,270.0,bottom
D43,268.01,-115.63,270.0,bottom
D44,287.06,-115.63,270.0,bottom
D45,305.48,-115.63,270.0,bottom
D46,325.16,-115.63,270.0,bottom
D47,329.54,-115.6025,270.0,bottom
D48,365.76,-115.63,270.0,bottom
D5,157.13,-90.2375,90.0,bottom
D6,163.6825,-90.2175,90.0,bottom
D60,70.71,-137.31,270.0,bottom
D61,99.32,-137.24,270.0,bottom
D62,149.01,-139.2325,270.0,bottom
D63,194.53,-139.2225,270.0,bottom
D64,222.75,-139.2225,270.0,bottom
D65,253.5,-139.2225,270.0,bottom
D66,267.66,-139.26,270.0,bottom
D67,296.03,-139.2425,270.0,bottom
D7,189.7325,-90.2175,90.0,bottom
D8,208.7825,-90.2175,90.0,bottom
D9,227.8325,-90.2175,90.0,bottom
